MRGID,GEONAME,TERRITORY1,ISO_TER1,SOVEREIGN1,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,SIS_name0,SIS_name1,To_split
8423,Panamanian Exclusive Economic Zone,Panama,PAN,Panama,NA,NA,NA,0,0,NA,NA,NA,Panama,,
21798,Protected Zone established under the Torres Strait Treaty,Papua New Guinea,PNG,Papua New Guinea,Australia,AUS,Australia,0,0,NA,NA,NA,Papua New Guinea,,
8324,Papua New Guinean Exclusive Economic Zone,Papua New Guinea,PNG,Papua New Guinea,NA,NA,NA,0,0,NA,NA,NA,Papua New Guinea,,
48962,Joint regime area Peru / Ecuador,Peru,PER,Peru,Ecuador,ECU,Ecuador,0,0,NA,NA,NA,Peru,,
8432,Peruvian Exclusive Economic Zone,Peru,PER,Peru,NA,NA,NA,0,0,NA,NA,NA,Peru,,
8322,Philippines Exclusive Economic Zone,Philippines,PHL,Philippines,NA,NA,NA,0,0,NA,NA,NA,Philippines,,
8439,Pitcairn Islands Exclusive Economic Zone,Pitcairn,PCN,United Kingdom,NA,NA,NA,0,0,NA,NA,NA,Pitcairn,,
5687,Polish Exclusive Economic Zone,Poland,POL,Poland,NA,NA,NA,0,0,NA,NA,NA,Poland,,
8361,Portuguese Exclusive Economic Zone (Azores),Azores,NA,Portugal,NA,NA,NA,0,0,NA,NA,NA,Portugal,Azores,
8363,Portuguese Exclusive Economic Zone (Madeira),Madeira,NA,Portugal,NA,NA,NA,0,0,NA,NA,NA,Portugal,Madeira,
5688,Portuguese Exclusive Economic Zone,Portugal,PRT,Portugal,NA,NA,NA,0,0,NA,NA,NA,Portugal,,
48951,Overlapping claim Navassa Island: USA / Haiti / Jamaica,Navassa Island,NA,Haiti,Navassa Island,NA,United States,20312,8682,Navassa Island,NA,Jamaica,Puerto Rico,Navassa I.,
33179,Puerto Rican Exclusive Economic Zone,Puerto Rico,PRI,United States,NA,NA,NA,0,0,NA,NA,NA,Puerto Rico,,
48982,Overlapping claim: Puerto Rico / Dominican Republic,Puerto Rico,PRI,United States,Dominican Republic,DOM,Dominican Republic,0,0,NA,NA,NA,Puerto Rico,,
8468,Qatari Exclusive Economic Zone,Qatar,QAT,Qatar,NA,NA,NA,0,0,NA,NA,NA,Qatar,,
50170,Overlapping claim Qatar / Saudi Arabia / United Arab Emirates,Qatar,QAT,Qatar,Saudi Arabia,SAU,Saudi Arabia,2206,2206,United Arab Emirates,ARE,United Arab Emirates,Qatar,,
8338,Réunion Exclusive Economic Zone,Réunion,REU,France,NA,NA,NA,0,0,NA,NA,NA,R�union,,
5689,Romanian Exclusive economic Zone,Romania,ROU,Romania,NA,NA,NA,0,0,NA,NA,NA,Romania,,
5690,Russian Exclusive economic Zone,Russia,RUS,Russia,NA,NA,NA,0,0,NA,NA,NA,Russian Federation,,
48952,Saint-Barthélemy Exclusive Economic Zone,Saint-Barthélemy,BLM,France,NA,NA,NA,0,0,NA,NA,NA,Saint Barth�lemy,,
8379,Ascension Exclusive Economic Zone,Ascension,SHN,United Kingdom,NA,NA,NA,0,0,NA,NA,NA,"Saint Helena, Ascension and Tristan da Cunha",Ascension,
8380,St. Helena Exclusive Economic Zone,Saint Helena,SHN,United Kingdom,NA,NA,NA,0,0,NA,NA,NA,"Saint Helena, Ascension and Tristan da Cunha",Saint Helena (main island),
8382,Tristan Da Cunha Exclusive Economic Zone,Tristan da Cunha,SHN,United Kingdom,NA,NA,NA,0,0,NA,NA,NA,"Saint Helena, Ascension and Tristan da Cunha",Tristan da Cunha,
8413,Saint Kitts and Nevis Exclusive Economic Zone,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,NA,NA,NA,0,0,NA,NA,NA,Saint Kitts and Nevis,,
8416,Saint Lucia Exclusive Economic Zone,Saint Lucia,LCA,Saint Lucia,NA,NA,NA,0,0,NA,NA,NA,Saint Lucia,,
8495,Saint-Martin Exclusive Economic Zone,Collectivity of Saint Martin,MAF,France,NA,NA,NA,0,0,NA,NA,NA,Saint Martin (French part),,
8494,Saint-Pierre and Miquelon Exclusive Economic Zone,Saint-Pierre and Miquelon,SPM,France,NA,NA,NA,0,0,NA,NA,NA,Saint Pierre and Miquelon,,
8421,Saint Vincent and the Grenadines Exclusive Economic Zone,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,NA,NA,NA,0,0,NA,NA,NA,Saint Vincent and the Grenadines,,
8445,Samoan Exclusive Economic Zone,Samoa,WSM,Samoa,NA,NA,NA,0,0,NA,NA,NA,Samoa,,
